blank,session,date,filename,unit,topic,long-topic,concepts,title,pad-slug,image,zotero-tag,zotero-readings,objective,tags,contents
,1,2024-04-19,2024-04-19-1.md,Introduction,Chocolate,Make Chocolate and Unwrap Your Sources,"chocolate model, data formats, data provenance",1. Introduction: Make Chocolate and Unwrap Your Sources,1,chocolate-keyboard-2050.jpg,1-Chocolate,,Consider your personal goals for the semester within the big picture of digital data in religious studies.,[1],"---
layout: post
session: 1
tags: [1]
level: overview
---"
,2,2024-04-26,2024-04-26-2.md,Working with Text,Text,"Get the Most out of ""Plain"" Text and Regular Expressions","ASCII, Unicode, plain text, rich text, RegEx","2. Working with Text: Get the Most out of ""Plain"" Text and Regular Expressions",2,printing-types-2050.jpg,2-Text,"[unicodeinc.WhatUnicode2017, UnicodeCharacterTable2024]",Understand plain text as a foundational type of data.,[2],"---
layout: post
session: 2
tags: [2]
level: overview
---"
,3,2024-05-03,2024-05-03-3.md,Working with Text,Git,Git Versioning and Archiving Your Data,"git, repositories, local, remote",3. Working with Text: Git Versioning and Archiving Your Data,3,vw-beetles-2050.jpg,3-Git,berryComputationalTurnThinking2011a,Be able to use basic features of git to track changes to your data.,[3],"---
layout: post
session: 3
tags: [3]
level: overview
---"
,4,2024-05-10,2024-05-10-4.md,Working with Text,Markdown & Markup,Mark it down and Mark it up (HTML and XML),"markdown, markup, html, xml",4. Working with Text: Mark it down and Mark it up (HTML and XML),4,breakdance-2050.jpg,4-Markdown-Markup,None,Be able to add formatting or structure to your text with markdown and markup (HTML and XML).,[4],"---
layout: post
session: 4
tags: [4]
level: overview
---"
,5,2024-05-17,2024-05-17-5.md,Accessing & Structuring Datasets,Tables,Structure Your Data with Tables and Databases,"IDs, data types, formulas",5. Accessing & Structuring Datasets: Structure Your Data with Tables and Databases,5,tables-2050.jpg,5-Tables,,,[5],"---
layout: post
session: 5
tags: [5]
level: overview
---"
,6,2024-05-24,2024-05-24-6.md,Accessing & Structuring Datasets,OpenRefine,Clean and Augment Your Data with OpenRefine,"data cleaning, entity resolution, URIs",6. Accessing & Structuring Datasets: Clean and Augment Your Data with OpenRefine,6,refrigerator-2050.jpg,6-OpenRefine,,,[6],"---
layout: post
session: 6
tags: [6]
level: overview
---"
,7,2024-05-31,2024-05-31-7.md,Accessing & Structuring Datasets,Code,Don't Freak out When You See Code (It's Only Python!),"debugging, documentation",7. Accessing & Structuring Datasets: Don't Freak out When You See Code (It's Only Python!),7,python-2050.jpg,7-Code,,,[7],"---
layout: post
session: 7
tags: [7]
level: overview
---"
,8,2024-06-07,2024-06-07-8.md,Accessing & Structuring Datasets,Scraping,Grab More Data with Scraping and Querying ,"data scraping, APIs",8. Accessing & Structuring Datasets: Grab More Data with Scraping and Querying ,8,baby-chocolate-2050.jpg,8-Scraping,,,[8],"---
layout: post
session: 8
tags: [8]
level: overview
---"
,9,2024-06-14,2024-06-14-9.md,Accessing & Structuring Datasets,FAIR Data,"Go Meta with ""FAIR"" Principles","open access, open source, creative commons, public domain, copyright","9. Accessing & Structuring Datasets: Go Meta with ""FAIR"" Principles",9,scale-2050.jpg,9-FAIR-Data,,,[9],"---
layout: post
session: 9
tags: [9]
level: overview
---"
,10,2024-06-21,2024-06-21-10.md,Advanced Processing & AI,Big Data,Get a Grip on Big Data,"querying data, filtering data, heterogeneous data, machine learning, training data",10. Advanced Processing & AI: Get a Grip on Big Data,10,city-in-hand-2050.jpg,10-Big-Data,,,[10],"---
layout: post
session: 10
tags: [10]
level: overview
---"
,11,2024-06-28,2024-06-28-11.md,Advanced Processing & AI,Images,Process Images and Recognize Text,"computer vision, OCR, HTR",11. Advanced Processing & AI: Process Images and Recognize Text,11,photos-conveyor-2050.jpg,11-Images,,,[11],"---
layout: post
session: 11
tags: [11]
level: overview
---"
,12,2024-07-05,2024-07-05-12.md,Advanced Processing & AI,Audio & Video,Generate and Transcribe Audio and Video,"voice recognition, generative AI",12. Advanced Processing & AI: Generate and Transcribe Audio and Video,12,droid-camera-2050.jpg,12-Audio-Video,,,[12],"---
layout: post
session: 12
tags: [12]
level: overview
---"
,13,2024-07-12,2024-07-12-13.md,Advanced Processing & AI,AI Labeling,Use AI to Label Your Data,"machine Learning, Named Entity Recognition, algorithms",13. Advanced Processing & AI: Use AI to Label Your Data,13,robot-2050.jpg,13-AI-Labeling,,,[13],"---
layout: post
session: 13
tags: [13]
level: overview
---"
,14,2024-07-19,2024-07-19-14.md,Conclusion,Presentations,Present Your Dataset,,14. Conclusion: Present Your Dataset,14,girl-projector-2050.jpg,14-Presentations,,,[14],"---
layout: post
session: 14
tags: [14]
level: overview
---"
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
